metric_id,name,machine_code,data_type,field_name,description,small,medium,large,metric_group_id,metric_calculation_id,primary_metric,moving_window,window_calc_id,is_active,docs_url
26,Landfire Agriculture Proportion,LFAGPROP,REAL,lf_agriculture_prop,landfire agriculture cover within the dgo,200,400,1400,3,7,1,1,5,1,
27,Landfire Agriculture Extent,LFAG,REAL,lf_agriculture,landfire agriculture cover within the dgo,200,400,1400,3,99,0,0,1,1,
28,Landfire Conifer Proportion,LFCONPROP,REAL,lf_conifer_prop,landfire forest cover within the dgo,200,400,1400,3,7,1,1,5,1,
29,Landfire Conifer Extent,LFCON,REAL,lf_conifer,landfire forest cover within the dgo,200,400,1400,3,99,0,0,1,1,
30,Landfire Conifer-Hardwood Proportion,LFCONHWPROP,REAL,lf_conifer_hardwood_prop,landfire conifer/hardwood cover within the dgo,200,400,1400,3,7,1,1,5,1,
31,Landfire Conifer-Hardwood Extent,LFCONHW,REAL,lf_conifer_hardwood,landfire conifer/hardwood cover within the dgo,200,400,1400,3,99,0,0,1,1,
32,Landfire Developed Proportion,LFDEVPROP,REAL,lf_developed_prop,landfire developed cover within the dgo,200,400,1400,3,7,1,1,5,1,
33,Landfire Developed Extent,LFDEV,REAL,lf_developed,landfire developed cover within the dgo,200,400,1400,3,99,0,0,1,1,
34,Landfire Exotic Herbaceous Proportion,LFEXOTHPROP,REAL,lf_exotic_herbaceous_prop,landfire exotic herbaceous cover within the dgo,200,400,1400,3,7,1,1,5,1,
35,Landfire Exotic Herbaceous Extent,LFEXOTH,REAL,lf_exotic_herbaceous,landfire exotic herbaceous cover within the dgo,200,400,1400,3,99,0,0,1,1,
36,Landfire Exotic Tree-Shrub Proportion,LFEXTSHPROP,REAL,lf_exotic_tree_shrub_prop,landfire exotic tree/shrub cover within the dgo,200,400,1400,3,7,1,1,5,1,
37,Landfire Exotic Tree-Shrub Extent,LFEXTSH,REAL,lf_exotic_tree_shrub,landfire exotic tree/shrub cover within the dgo,200,400,1400,3,99,0,0,1,1,
38,Landfire Grassland Proportion,LFGRASSPROP,REAL,lf_grassland_prop,landfire grassland cover within the dgo,200,400,1400,3,7,1,1,5,1,
39,Landfire Grassland Extent,LFGRASS,REAL,lf_grassland,landfire grassland cover within the dgo,200,400,1400,3,99,0,0,1,1,
40,Landfire Hardwood Proportion,LFHWPROP,REAL,lf_hardwood_prop,landfire hardwood cover within the dgo,200,400,1400,3,7,1,1,5,1,
41,Landfire Hardwood Extent,LFHW,REAL,lf_hardwood,landfire hardwood cover within the dgo,200,400,1400,3,99,0,0,1,1,
42,Landfire Riparian Proportion,LFRIPPROP,REAL,lf_riparian_prop,landfire riparian cover within the dgo,200,400,1400,3,7,1,1,5,1,
43,Landfire Riparian Extent,LFRIP,REAL,lf_riparian,landfire riparian cover within the dgo,200,400,1400,3,99,0,0,1,1,
44,Landfire Shrubland Proportion,LFSHRUBPROP,REAL,lf_shrubland_prop,landfire shrubland cover within the dgo,200,400,1400,3,7,1,1,5,1,
45,Landfire Shrubland Extent,LFSHRUB,REAL,lf_shrubland,landfire shrubland cover within the dgo,200,400,1400,3,99,0,0,1,1,
46,Landfire Sparsely Vegetated Proportion,LFSPARSEPROP,REAL,lf_sparsely_vegetated_prop,landfire sparsely vegetated cover within the dgo,200,400,1400,3,7,1,1,5,1,
47,Landfire Sparsely Vegetated Extent,LFSPARSE,REAL,lf_sparsely_vegetated,landfire sparsely vegetated cover within the dgo,200,400,1400,3,99,0,0,1,1,
48,BPS Conifer Proportion,LFCONBPSPROP,REAL,lf_hist_conifer_prop,landfire conifer cover within the dgo,200,400,1400,3,8,1,1,5,1,
49,BPS Conifer Extent,LFCONBPS,REAL,lf_hist_conifer,landfire conifer cover within the dgo,200,400,1400,3,99,0,0,1,1,
50,BPS Conifer-Hardwood Proportion,LFCONHWBPSPROP,REAL,lf_hist_conifer_hardwood_prop,landfire conifer/hardwood cover within the dgo,200,400,1400,3,8,1,1,5,1,
51,BPS Conifer-Hardwood Extent,LFCONHWBPS,REAL,lf_hist_conifer_hardwood,landfire conifer/hardwood cover within the dgo,200,400,1400,3,99,0,0,1,1,
52,BPS Grassland Proportion,LFGRASSBPSPROP,REAL,lf_hist_grassland_prop,landfire grassland cover within the dgo,200,400,1400,3,8,1,1,5,1,
53,BPS Grassland Extent,LFGRASSBPS,REAL,lf_hist_grassland,landfire grassland cover within the dgo,200,400,1400,3,99,0,0,1,1,
54,BPS Hardwood Proportion,LFHWBPSPROP,REAL,lf_hist_hardwood_prop,landfire hardwood cover within the dgo,200,400,1400,3,8,1,1,5,1,
55,BPS Hardwood Extent,LFHWBPS,REAL,lf_hist_hardwood,landfire hardwood cover within the dgo,200,400,1400,3,99,0,0,1,1,
56,BPS Hardwood-Conifer Proportion,LFHWCONBPSPROP,REAL,lf_hist_hardwood_conifer_prop,landfire hardwood/conifer cover within the dgo,200,400,1400,3,8,1,1,5,1,
57,BPS Hardwood-Conifer Extent,LFHWCONBPS,REAL,lf_hist_hardwood_conifer,landfire hardwood/conifer cover within the dgo,200,400,1400,3,99,0,0,1,1,
58,BPS Peatland Forest Proportion,LFPEATBPSPROP,REAL,lf_hist_peatland_forest_prop,landfire peatland forest cover within the dgo,200,400,1400,3,8,1,1,5,1,
59,BPS Peatland Forest Extent,LFPEATBPS,REAL,lf_hist_peatland_forest,landfire peatland forest cover within the dgo,200,400,1400,3,99,0,0,1,1,
60,BPS Peatland Non-forest Proportion ,LFPEATNONBPSPROP,REAL,lf_hist_peatland_nonforest_prop,landfire peatland non-forest cover within the dgo,200,400,1400,3,8,1,1,5,1,
61,BPS Peatland Non-forest Extent,LFPEATNONBPS,REAL,lf_hist_peatland_nonforest,landfire peatland non-forest cover within the dgo,200,400,1400,3,99,0,0,1,1,
62,BPS Riparian Proportion,LFRIPBPSPROP,REAL,lf_hist_riparian_prop,landfire riparian cover within the dgo,200,400,1400,3,8,1,1,5,1,
63,BPS Riparian Extent,LFRIPBPS,REAL,lf_hist_riparian,landfire riparian cover within the dgo,200,400,1400,3,99,0,0,1,1,
64,BPS Savanna Proportion,LFSAVBPSPROP,REAL,lf_hist_savanna_prop,landfire savanna cover within the dgo,200,400,1400,3,8,1,1,5,1,
65,BPS Savanna Extent,LFSAVBPS,REAL,lf_hist_savanna,landfire savanna cover within the dgo,200,400,1400,3,99,0,0,1,1,
66,BPS Shrubland Proportion,LFSHRUBBPSPROP,REAL,lf_hist_shrubland_prop,landfire shrubland cover within the dgo,200,400,1400,3,8,1,1,5,1,
67,BPS Shrubland Extent,LFSHRUBBPS,REAL,lf_hist_shrubland,landfire shrubland cover within the dgo,200,400,1400,3,99,0,0,1,1,
68,BPS Sparsely Vegetated Proportion,LFSPARSEBPSPROP,REAL,lf_hist_sparsely_vegetated_prop,landfire sparsely vegetated cover within the dgo,200,400,1400,3,8,1,1,5,1,
69,BPS Sparsely Vegetated Extent,LFSPARSEBPS,REAL,lf_hist_sparsely_vegetated,landfire sparsely vegetated cover within the dgo,200,400,1400,3,99,0,0,1,1,
70,Low-Lying Valley Bottom,ACTFLDAREA,REAL,lowlying_area,area of vbet low-lying floodplain,200,400,1400,2,1,1,0,1,1,
71,Elevated Valley Bottom,INACTFLDAREA,REAL,elevated_area,area of vbet elevated floodplain,200,400,1400,2,1,1,0,1,1,
72,Active Channel Area,ACTCHANAREA,REAL,channel_area,area of vbet channel area,200,400,1400,2,1,1,0,1,1,
73,Floodplain Area,FLDPLNAREA,REAL,floodplain_area,area of vbet floodplain,200,400,1400,2,1,1,0,1,1,
74,Integrated Width,INTGWDTH,REAL,integrated_width,average width of dgo,200,400,1400,2,1,1,1,3,1,
75,Active Channel Ratio,CHANVBRAT,REAL,active_channel_ratio,ratio of active channel to total valley bottom area,200,400,1400,2,1,1,1,5,1,
76,Low-Lying Ratio,LOWLYVBRAT,REAL,low_lying_ratio,ratio of low-lying to total valley bottom area,200,400,1400,2,1,1,1,5,1,
77,Elevated Ratio,ELEVATEDVBRAT,REAL,elevated_ratio,ratio of elevated to total valley bottom area,200,400,1400,2,1,1,1,5,1,
78,Floodplain Ratio,FLDVBRAT,REAL,floodplain_ratio,ratio of floodplain to total valley bottom area,200,400,1400,2,1,1,1,5,1,
79,Acres Valley Bottom Per Mile,ACRESVBPM,REAL,acres_vb_per_mile,acres of valley bottom per mile of valley length,200,400,1400,2,99,0,1,99,1,
80,Hectares Valley Bottom Per KM,HECTVBPKM,REAL,hect_vb_per_km,hectares of valley bottom per km of valley length,200,400,1400,2,99,0,1,99,1,
81,Integrated Channel Width,STRMSIZE,REAL,channel_width,average channel width,200,400,1400,2,99,0,1,4,1,
82,Confinement,CNFMT,REAL,confinement_ratio,confinement ratio within analysis window,200,400,1400,2,1,1,1,4,1,
83,Constriction,CONST,REAL,constriction_ratio,constriction ratio within analysis window,200,400,1400,2,1,1,1,4,1,
84,Length of Confining Margins,CONFMARG,REAL,confining_margins,length of confining margins within the analysis window,200,400,1400,2,1,1,0,1,1,
85,Length of Constricting Margins,CONSMARG,REAL,constricting_margins,length where both sides of channel are confining margins,200,400,1400,2,1,1,0,1,1,
86,Anthropogenic confinement,ANTHCNFMT,REAL,,,200,400,1400,5,1,1,1,4,0,
87,Baseflow,QLOW,REAL,qlow,estimated low flow discharge,200,400,1400,4,1,1,0,1,1,
88,Typical Flood Flow,Q2,REAL,q2,estimated typical flood discharge,200,400,1400,4,1,1,0,1,1,
89,Low Flow Stream Power,LOWFLOWSP,REAL,splow,typical baseflow stream power,200,400,1400,4,1,1,1,99,1,
90,High Flow Stream Power,HIGHFLOWSP,REAL,sphigh,typical flood flow stream power,200,400,1400,4,1,1,1,99,1,
91,Road Length,ROADLEN,REAL,road_len,length of roads,200,400,1400,5,1,1,0,1,1,
92,Road Density,ROADDENS,REAL,road_dens,ratio of road length to valley centerline length,200,400,1400,5,99,0,1,3,1,
93,Rail Length,RAILLEN,REAL,rail_len,length of railroads,200,400,1400,5,1,1,0,1,1,
94,Rail Density,RAILDENS,REAL,rail_dens,ratio of railroad length to valley centerline length,200,400,1400,5,99,0,1,3,1,
95,Land Use Intensity,LUI,REAL,land_use_intens,land use intensity (0-100) within the analysis window,200,400,1400,5,1,1,1,6,1,
96,Distance to Roads,ROADDIST,REAL,road_dist,distance to nearest road,200,400,1400,5,4,1,0,1,1,
97,Distance to Railroads,RAILDIST,REAL,rail_dist,distance to nearest railroad,200,400,1400,5,4,1,0,1,1,
98,Distance to Diversion Point,DIVDIST,REAL,div_dist,distance to nearest diversion point,200,400,1400,5,4,1,0,1,1,
99,Distance to Canal/Ditch,CANDIST,REAL,canal_dist,distance to nearest canal/ditch,200,400,1400,5,4,1,0,1,1,
100,Distance to Infrastructure,INFRADIST,REAL,infra_dist,distance to nearest infrastructure,200,400,1400,5,4,1,0,1,1,
101,Floodplain Accessibility,FPACCESS,REAL,fldpln_access,proportion of floodplain accessible to channel,200,400,1400,5,1,1,1,5,1,
102,Accessible Floodplain Extent,ACFPEXT,REAL,access_fldpln_extent,accessible floodplain extent within the analysis window,200,400,1400,5,99,0,0,1,1,
103,Existing Riparian Extent,EXRIP,REAL,ex_riparian,existing riparian extent within the analysis window,200,400,1400,3,99,0,0,1,1,
104,Historic Riparian Extent,HISTRIP,REAL,hist_riparian,historic riparian extent within the analysis window,200,400,1400,3,99,0,0,1,1,
105,Proportion Riparian,PROP_RIP,REAL,prop_riparian,proportion of the analysis window that is riparian vegetation,200,400,1400,3,1,1,1,5,1,
106,Historic Proportion Riparian,HISTPROP_RIP,REAL,hist_prop_riparian,historic proportion of the analysis window that is riparian vegetation,200,400,1400,3,1,1,1,5,1,
107,Riparian Vegetation Departure,RVD,REAL,riparian_veg_departure,riparian vegetation departure within the analysis window,200,400,1400,3,1,1,1,99,1,
108,Agriculture Conversion,AGCONV,REAL,ag_conversion,proportion of riparian vegetation converted to agriculture,200,400,1400,3,1,1,1,5,1,
109,Development,DEVEL,REAL,develop,proportion of riparian vegetation converted to developed,200,400,1400,3,1,1,1,5,1,
110,Grass/Shrubland Conversion,GRSHCONV,REAL,grass_shrub_conversion,proportion of riparian vegetation converted to grass/shrubland,200,400,1400,3,1,1,1,5,1,
111,Conifer Encroachment,CONCONV,REAL,conifer_encroachment, proportion of riparian vegetation converted to conifer,200,400,1400,3,1,1,1,5,1,
112,Invasive Conversion,INVCONV,REAL,invasive_conversion,proportion of riparian vegetation converted to invasive species,200,400,1400,3,1,1,1,5,1,
113,Riparian Condition,RIPCOND,REAL,riparian_condition,riparian condition index score (0-1),200,400,1400,3,1,1,1,6,1,
114,Beaver Dam Capacity,BRATCAP,REAL,brat_capacity,beaver dam capacity (dams/km of valley length),200,400,1400,6,1,1,1,3,1,
115,Historic Beaver Dam Capacity,BRATHISTCAP,REAL,brat_hist_capacity,historic beaver dam capacity (dams/km of valley length),200,400,1400,6,1,1,1,3,1,
116,BRAT Risk,BRATRISK,TEXT,brat_risk,risk of dam building activity to infrastructure,200,400,1400,6,1,1,0,1,1,
117,BRAT Opportunity,BRATOPP,TEXT,brat_opportunity,restoration/conservation opportunities,200,400,1400,6,1,1,0,1,1,
118,BRAT Limitation,BRATLIM,TEXT,brat_limitation,limitation to beaver dam building activity,200,400,1400,6,1,1,0,1,1,
119,Existing Dam Complex Size,BRATCOMPLEX,REAL,brat_complex_size,average size of beaver dam complexes,200,400,1400,6,1,1,0,1,1,
120,Historic Dam Complex Size,BRATHISTCOMPLEX,REAL,brat_hist_complex_size,historic average size of beaver dam complexes,200,400,1400,6,1,1,0,1,1,
121,Beaver Dam Setting,DAMSETTING,TEXT,dam_setting,the setting types for dam building activity,200,400,1400,6,4,1,0,1,1,
122,Floodplain Count River Left,CNTFLDL,INTEGER,,,200,400,1400,2,99,1,0,1,0,
123,Floodplain Count River Right,CNTFLDR,INTEGER,,,200,400,1400,2,99,1,0,1,0,
124,Grainsize,GRNSIZE,REAL,,,200,400,1400,2,99,1,0,1,0,
125,Elevation,ELEV,REAL,elevation,elevation at the downstream end of the dgo,200,400,1400,1,99,1,0,1,1,
126,Geology,GEOL,TEXT,geology,dominant geology within the dgo,200,400,1400,1,5,1,0,1,1,
127,Subwatershed,SUBWATS,TEXT,huc12,NHD 12-digit Hydrologic Unit Code ID,200,400,1400,1,99,1,0,1,1,
